#Zeit; y_1
10,13;4,313003422
10,14;4,313051239
10,15;4,313098609
10,16;4,313145534
10,17;4,313192013
10,18;4,313238049
10,19;4,313283641
10,2;4,313328792
10,21;4,313373502
10,22;4,313417772
10,23;4,313461603
10,24;4,313504997
10,25;4,313547954
10,26;4,313590476
10,27;4,313632565
10,28;4,313674221
10,29;4,313715446
10,3;4,313756241
10,31;4,313796607
10,32;4,313836546
10,33;4,31387606
10,34;4,31391515
10,35;4,313953817
10,36;4,313992063
10,37;4,314029889
10,38;4,314067297
10,39;4,314104289
10,4;4,314140866
10,41;4,314177031
10,42;4,314212783
10,43;4,314248126
10,44;4,314283061
10,45;4,31431759
10,46;4,314351714
10,47;4,314385435
10,48;4,314418756
10,49;4,314451677
10,5;4,314484201
10,51;4,31451633
10,52;4,314548065
10,53;4,314579409
10,54;4,314610362
10,55;4,314640929
10,56;4,314671109
10,57;4,314700906
10,58;4,31473032
10,59;4,314759355
10,6;4,314788012
10,61;4,314816294
10,62;4,314844201
10,63;4,314871737
10,64;4,314898903
10,65;4,314925702
10,66;4,314952135
10,67;4,314978205
10,68;4,315003914
10,69;4,315029263
10,7;4,315054256
10,71;4,315078894
10,72;4,315103179
10,73;4,315127114
10,74;4,315150701
10,75;4,315173941
10,76;4,315196838
10,77;4,315219393
10,78;4,315241608
10,79;4,315263487
10,8;4,31528503
10,81;4,315306241
10,82;4,315327121
10,83;4,315347672
10,84;4,315367898
10,85;4,3153878
10,86;4,315407381
10,87;4,315426642
10,88;4,315445586
10,89;4,315464216
10,9;4,315482533
10,91;4,31550054
10,92;4,31551824
10,93;4,315535633
10,94;4,315552724
10,95;4,315569514
10,96;4,315586005
10,97;4,3156022
10,98;4,3156181
10,99;4,315633709
11;4,315649029
11,01;4,315664061
11,02;4,315678809
11,03;4,315693274
11,04;4,315707459
11,05;4,315721366
11,06;4,315734997
11,07;4,315748355
11,08;4,315761443
11,09;4,315774261
11,1;4,315786813
11,11;4,315799101
11,12;4,315811127
11,13;4,315822894
11,14;4,315834403
11,15;4,315845657
11,16;4,315856659
11,17;4,315867411
11,18;4,315877914
11,19;4,315888171
11,2;4,315898185
11,21;4,315907958
11,22;4,315917491
11,23;4,315926788
11,24;4,31593585
11,25;4,31594468
11,26;4,31595328
11,27;4,315961652
11,28;4,315969798
11,29;4,315977722
11,3;4,315985424
11,31;4,315992907
11,32;4,316000173
11,33;4,316007225
11,34;4,316014064
11,35;4,316020693
11,36;4,316027115
11,37;4,31603333
11,38;4,316039342
11,39;4,316045153
11,4;4,316050764
11,41;4,316056178
11,42;4,316061397
11,43;4,316066423
11,44;4,316071258
11,45;4,316075905
11,46;4,316080365
11,47;4,31608464
11,48;4,316088734
11,49;4,316092647
11,5;4,316096381
11,51;4,31609994
11,52;4,316103324
11,53;4,316106537
11,54;4,316109579
11,55;4,316112453
11,56;4,316115161
11,57;4,316117706
11,58;4,316120088
11,59;4,316122311
11,6;4,316124375
11,61;4,316126283
11,62;4,316128037
11,63;4,31612964
11,64;4,316131091
11,65;4,316132395
11,66;4,316133552
11,67;4,316134565
11,68;4,316135436
11,69;4,316136165
11,7;4,316136756
11,71;4,31613721
11,72;4,316137529
11,73;4,316137715
11,74;4,316137769
11,75;4,316137694
11,76;4,316137491
11,77;4,316137162
11,78;4,316136709
11,79;4,316136134
11,8;4,316135438
11,81;4,316134623
11,82;4,316133691
11,83;4,316132644
11,84;4,316131483
11,85;4,316130211
11,86;4,316128828
11,87;4,316127337
11,88;4,316125738
11,89;4,316124035
11,9;4,316122228
11,91;4,31612032
11,92;4,316118311
11,93;4,316116203
11,94;4,316113999
11,95;4,316111699
11,96;4,316109305
11,97;4,31610682
11,98;4,316104243
11,99;4,316101578
12;4,316098824
12,01;4,316095985
12,02;4,316093062
12,03;4,316090055
12,04;4,316086967
12,05;4,316083799
12,06;4,316080552
12,07;4,316077229
12,08;4,316073829
12,09;4,316070356
12,1;4,316066809
12,11;4,316063192
12,12;4,316059504
12,13;4,316055748
12,14;4,316051925
12,15;4,316048036
12,16;4,316044082
12,17;4,316040066
12,18;4,316035987
12,19;4,316031848
12,2;4,31602765
12,21;4,316023394
12,22;4,316019082
12,23;4,316014714
12,24;4,316010293
12,25;4,316005818
12,26;4,316001292
12,27;4,315996716
12,28;4,31599209
12,29;4,315987417
12,3;4,315982697
12,31;4,315977932
12,32;4,315973122
12,33;4,315968269
12,34;4,315963374
12,35;4,315958439
12,36;4,315953463
12,37;4,315948449
12,38;4,315943397
12,39;4,315938309
12,4;4,315933186
12,41;4,315928028
12,42;4,315922837
12,43;4,315917614
12,44;4,31591236
12,45;4,315907076
12,46;4,315901762
12,47;4,315896421
12,48;4,315891052
12,49;4,315885657
12,5;4,315880238
12,51;4,315874794
12,52;4,315869326
12,53;4,315863837
12,54;4,315858326
12,55;4,315852795
12,56;4,315847244
12,57;4,315841675
12,58;4,315836088
12,59;4,315830484
12,6;4,315824864
12,61;4,315819229
12,62;4,315813579
12,63;4,315807916
12,64;4,315802241
12,65;4,315796554
12,66;4,315790856
12,67;4,315785147
12,68;4,315779429
12,69;4,315773703
12,7;4,315767969
12,71;4,315762227
12,72;4,31575648
12,73;4,315750726
12,74;4,315744968
12,75;4,315739205
12,76;4,315733439
12,77;4,315727671
12,78;4,3157219
12,79;4,315716128
12,8;4,315710355
12,81;4,315704582
12,82;4,315698809
12,83;4,315693038
12,84;4,315687269
12,85;4,315681502
12,86;4,315675739
12,87;4,315669979
12,88;4,315664223
12,89;4,315658472
12,9;4,315652727
12,91;4,315646988
12,92;4,315641255
12,93;4,31563553
12,94;4,315629812
12,95;4,315624102
12,96;4,315618402
12,97;4,31561271
12,98;4,315607029
12,99;4,315601358
13;4,315595697
13,01;4,315590048
13,02;4,315584411
13,03;4,315578786
13,04;4,315573174
13,05;4,315567575
13,06;4,315561989
13,07;4,315556418
13,08;4,315550861
13,09;4,315545319
13,1;4,315539792
13,11;4,315534282
13,12;4,315528787
13,13;4,315523309
13,14;4,315517848
13,15;4,315512404
13,16;4,315506978
13,17;4,31550157
13,18;4,31549618
13,19;4,315490809
13,2;4,315485457
13,21;4,315480125
13,22;4,315474813
